Block,WnvPresent
10,0.06683640993
11,0.0302114803625
12,0.0664136622391
13,0.0294117647059
14,0.0561797752809
15,0.0379746835443
17,0.0290909090909
18,0.0
20,0.0434782608696
21,0.0652173913043
22,0.0631808278867
24,0.0753424657534
25,0.0103626943005
27,0.0
28,0.0470588235294
29,0.0
30,0.0119047619048
33,0.037037037037
34,0.0
35,0.0344827586207
36,0.0894308943089
37,0.023178807947
38,0.0535714285714
39,0.0443037974684
40,0.0625
41,0.09375
42,0.0592592592593
43,0.0119047619048
45,0.0459770114943
46,0.11214953271
47,0.0
48,0.0185185185185
49,0.0
50,0.0535714285714
51,0.0909090909091
52,0.0592885375494
53,0.0
55,0.0
58,0.08
60,0.0388349514563
61,0.0539215686275
62,0.02
63,0.0540540540541
64,0.0943396226415
65,0.0776699029126
66,0.05
67,0.0571428571429
68,0.0357142857143
70,0.0526315789474
71,0.0434782608696
72,0.0892857142857
73,0.0384615384615
75,0.0
77,0.0120481927711
79,0.0510204081633
80,0.0
81,0.0333333333333
82,0.100917431193
89,0.0277777777778
90,0.0422535211268
91,0.0792079207921
93,0.0625
96,0.0
98,0.0
