Trap,WnvPresent
T001,0.0
T002,0.09375
T003,0.11214953271
T004,0.0
T005,0.153846153846
T006,0.0909090909091
T007,0.0
T008,0.0708661417323
T009,0.0792079207921
T011,0.0894308943089
T012,0.0425531914894
T013,0.0736842105263
T014,0.153846153846
T015,0.142857142857
T016,0.0892857142857
T017,0.0
T018,0.0
T019,0.0
T025,0.0
T027,0.0731707317073
T028,0.0761904761905
T030,0.0630630630631
T031,0.036231884058
T033,0.0561797752809
T034,0.0
T035,0.044776119403
T036,0.0416666666667
T037,0.0357142857143
T039,0.0519480519481
T040,0.0
T043,0.0
T044,0.0
T045,0.1
T046,0.0
T047,0.0194174757282
T048,0.0225563909774
T049,0.012987012987
T050,0.0
T051,0.0
T054,0.0408163265306
T054C,0.111111111111
T060,0.0
T061,0.0860215053763
T062,0.0138888888889
T063,0.0210526315789
T065,0.047619047619
T066,0.0571428571429
T067,0.0384615384615
T069,0.0128205128205
T070,0.0625
T071,0.0
T072,0.0
T073,0.0333333333333
T074,0.0192307692308
T075,0.0
T076,0.0
T077,0.037037037037
T078,0.0
T079,0.0138888888889
T080,0.0120481927711
T081,0.0526315789474
T082,0.0813953488372
T083,0.0142857142857
T084,0.0434782608696
T085,0.0333333333333
T086,0.1
T088,0.0
T089,0.0352941176471
T090,0.0441176470588
T091,0.0454545454545
T092,0.0
T094,0.0277777777778
T094B,0.0
T095,0.0493827160494
T096,0.125
T097,0.0625
T099,0.0
T100,0.0
T102,0.0210526315789
T103,0.0632911392405
T107,0.0625
T114,0.0681818181818
T115,0.0738396624473
T128,0.0753424657534
T129,0.0
T135,0.0487804878049
T138,0.0526315789474
T141,0.0
T142,0.0555555555556
T143,0.166666666667
T144,0.0294117647059
T145,0.0119047619048
T146,0.0
T147,0.0470588235294
T148,0.0
T149,0.0
T150,0.0
T151,0.0359712230216
T152,0.0240963855422
T153,0.0
T154,0.0952380952381
T155,0.0540540540541
T156,0.05
T157,0.0
T158,0.0458015267176
T159,0.039603960396
T160,0.0246913580247
T161,0.0
T162,0.0625
T200,0.00840336134454
T206,0.0
T209,0.0258620689655
T212,0.0215827338129
T215,0.0810810810811
T218,0.0294117647059
T219,0.0
T220,0.0459770114943
T221,0.0761904761905
T222,0.0185185185185
T223,0.113924050633
T224,0.0
T225,0.10752688172
T226,0.0422535211268
T227,0.056338028169
T228,0.0925925925926
T229,0.0
T230,0.0980392156863
T231,0.105263157895
T232,0.0227272727273
T233,0.093023255814
T235,0.12962962963
T236,0.0333333333333
T237,0.0
T238,0.0
T900,0.0915697674419
T903,0.0763358778626
